X1,Y1,X2,Y2
-1.40934,-21.2101,-1.40933,-21.2101
-1.40934,-21.2101,-1.40933,-21.2101
-1.40934,-21.2101,-1.40933,-21.2101
-1.41665,-21.2102,-1.494,-21.2121
-1.43259,-21.2106,-1.61395,-21.2148
-1.45962,-21.2112,-1.7328,-21.2183
-1.48365,-21.2117,-1.86142,-21.2232
-1.51415,-21.212,-1.9808,-21.2278
-1.55612,-21.2123,-2.09941,-21.2332
-1.60361,-21.2126,-2.20643,-21.2392
-1.66658,-21.213,-2.32562,-21.2465
-1.71448,-21.2176,-2.44563,-21.2535
-1.74954,-21.2198,-2.56113,-21.2605
-1.7806,-21.2197,-2.69624,-21.2706
-1.85022,-21.2196,-2.83343,-21.2768
-1.90264,-21.2206,-2.95202,-21.2808
-1.95728,-21.2147,-3.0831,-21.2876
-2.02274,-21.2073,-3.20136,-21.2935
-2.08578,-21.2008,-3.32293,-21.2981
-2.14892,-21.196,-3.44923,-21.3053
-2.18834,-21.1916,-3.56747,-21.3133
-2.26338,-21.177,-3.68717,-21.3204
-2.33705,-21.1661,-3.81467,-21.3237
-2.40224,-21.1602,-3.95455,-21.3236
-2.46164,-21.1596,-4.07503,-21.3237
-2.53852,-21.1647,-4.20106,-21.3261
-2.60421,-21.1681,-4.32069,-21.3325
-2.66762,-21.1715,-4.45823,-21.3385
-2.73388,-21.1743,-4.59274,-21.3444
-2.80593,-21.1774,-4.73187,-21.3535
-2.87593,-21.1807,-4.84684,-21.3467
-2.95536,-21.1839,-4.96129,-21.3437
-3.02239,-21.1815,-5.07899,-21.3428
-3.09269,-21.1786,-5.21669,-21.3441
-3.16424,-21.175,-5.33336,-21.3322
-3.23606,-21.1714,-5.46365,-21.3131
-3.31334,-21.1684,-5.58156,-21.2919
-3.39813,-21.1651,-5.69834,-21.2694
-3.50178,-21.1607,-5.83207,-21.2442
-3.59179,-21.1563,-5.94692,-21.2216
-3.69423,-21.1521,-6.0823,-21.1924
-3.79604,-21.1479,-6.19774,-21.1707
-3.88386,-21.1438,-6.31342,-21.1463
-3.97337,-21.1385,-6.42667,-21.1172
-4.05709,-21.1356,-6.5426,-21.0872
-4.1521,-21.1332,,
-4.24814,-21.13,,
-4.34805,-21.1243,,
-4.44373,-21.1202,,
-4.54513,-21.1188,,
-4.64061,-21.122,,
-4.74172,-21.1256,,
-4.83921,-21.1321,,
-4.95482,-21.1408,,
-5.05328,-21.1477,,
-5.1551,-21.153,,
-5.25487,-21.1587,,
-5.36865,-21.1662,,
-5.46971,-21.172,,
-5.57174,-21.1748,,
-5.6721,-21.1724,,
-5.76936,-21.1693,,
-5.88687,-21.1631,,
-5.99459,-21.1563,,
-6.09799,-21.1517,,
-6.21858,-21.1459,,
-6.34115,-21.137,,
-6.40439,-21.1319,,
-6.40426,-21.1319,,
-6.40413,-21.1319,,
-6.40398,-21.132,,
